Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1383.0018,26756.7346,107.0316,5.5320,112.5636,0.8085,309.2021,0.6891,29.8187%,250
2,1229.1136,14655.5657,58.8626,4.9362,63.7987,0.7773,320.3214,0.6839,25.5808%,249
3,1437.9432,16112.2133,64.4537,5.7518,70.2055,1.1404,219.2125,0.5434,43.7306%,250
4,1608.9555,21272.5689,85.0953,6.4358,91.5311,0.6728,371.5959,0.4964,28.8657%,250
5,1678.8663,26030.1796,104.1255,6.7155,110.8409,0.6043,413.7275,0.5427,27.0527%,250
6,2221.7194,39536.9563,158.1526,8.8869,167.0394,0.3381,739.5304,0.6326,20.0282%,250
7,1945.1166,44929.7047,179.7234,7.7805,187.5039,0.3777,661.9173,0.5817,19.5907%,250
8,3455.0069,213890.9457,869.4802,14.0447,883.5249,0.0767,3205.6759,1.7973,7.1852%,246
9,1499.7364,24068.5659,96.2788,5.9989,102.2777,1.0198,245.1494,0.7259,40.7843%,250
10,1157.3774,18328.0410,73.3171,4.6295,77.9466,1.3864,180.3172,0.7094,42.7904%,250